t	x	F(x)	F_approx	Error
3.85	-4.92	0.11726525253653886	0.11726525364831765	1.1117787940273516e-09
3.86	-4.912	0.11760780126197198	0.11760780229102541	1.0290534258050599e-09
3.87	-4.904	0.11794282312826765	0.11794282407559467	9.47327022382538e-10
3.88	-4.896	0.11827029669414083	0.11827029756080144	8.66660618270565e-10
3.89	-4.888	0.11859020100139517	0.11859020178850822	7.871130552894456e-10
3.9	-4.88	0.11890251557626412	0.11890251628500412	7.087399972460773e-10
3.91	-4.872	0.11920722043072143	0.11920722106231646	6.315950262791858e-10
3.92	-4.864	0.11950429606376048	0.11950429661948873	5.557282550805454e-10
3.93	-4.856	0.11979372346264223	0.11979372394382978	4.81187548140305e-10
3.94	-4.848	0.12007548410411188	0.12007548451212995	4.080180637799913e-10
3.95	-4.84	0.12034955995558447	0.12034956029184701	3.362625455860524e-10
3.96	-4.832	0.12061593347629915	0.12061593374225985	2.6596069790940646e-10
3.97	-4.824	0.12087458761844154	0.12087458781559135	1.9714981036589307e-10
3.98	-4.816	0.1211255058282348	0.1211255059580997	1.2986491049193916e-10
3.99	-4.808	0.12136867204699907	0.12136867211113744	6.413837516650034e-11
4.0	-4.8	0.12160407071217942	0.12160407071217948	5.551115123125783e-17
4.01	-4.792	0.12183168675834168	0.12183168669581895	6.252272310991458e-11
4.0200000000000005	-4.783999999999999	0.12205150561813653	0.12205150549473201	1.2340452271164537e-10
4.03	-4.776	0.12226351322323192	0.12226351304060916	1.8262276413327783e-10
4.04	-4.768	0.12246769600521357	0.12246769576505638	2.4015718580461254e-10
4.05	-4.76	0.12266404089645314	0.12266404060046378	2.9598935802344073e-10
4.0600000000000005	-4.751999999999999	0.12285253533094456	0.12285253498084123	3.501033352115712e-10
4.07	-4.744	0.12303316724510835	0.12303316684262303	4.0248532284792304e-10
4.08	-4.736	0.12320592507856368	0.12320592462544008	4.531235942017986e-10
4.09	-4.728	0.12337079777486822	0.12337079727285956	5.020086568663373e-10
4.1	-4.720000000000001	0.1235277747822256	0.12352777423309272	5.49132878058245e-10
4.11	-4.712	0.12367684605416102	0.12367684545967031	5.944907066623983e-10
4.12	-4.704	0.12381800205016387	0.12381800141208534	6.380785344539674e-10
4.13	-4.696	0.12395123373629867	0.12395123305640396	6.798947099762032e-10
4.14	-4.688000000000001	0.12407653258578291	0.12407653186584369	7.199392193513177e-10
4.15	-4.68	0.12419389057953306	0.12419388982131903	7.582140332251797e-10
4.16	-4.672	0.12430330020667751	0.1243032994119547	7.947228153337704e-10
4.17	-4.664	0.12440475446503754	0.12440475363556654	8.294710057699106e-10
4.18	-4.656000000000001	0.12449824686157518	0.12449824599910954	8.624656405720188e-10
4.19	-4.648	0.124583771412809	0.12458377051909374	8.937152684573846e-10
4.2	-4.64	0.1246613226451969	0.12466132172196681	9.232300896000467e-10
4.21	-4.632	0.12473089559548649	0.12473089464446462	9.510218723640662e-10
4.22	-4.6240000000000006	0.12479248581103267	0.1247924848339291	9.771035647254678e-10
4.23	-4.616	0.1248460893500827	0.12484608834859286	1.001489849383752e-09
4.24	-4.608	0.12489170278202837	0.12489170175783179	1.0241965747725956e-09
4.25	-4.6	0.12492932318762559	0.12492932214238456	1.045241032615607e-09
4.26	-4.5920000000000005	0.12495894815918127	0.12495894709453972	1.0646415415926924e-09
4.2700000000000005	-4.584	0.12498057580070732	0.1249805747182896	1.0824177110180244e-09
4.28	-4.576	0.12499420472804205	0.12499420362945154	1.0985905102289806e-09
4.29	-4.568	0.1249998340689388	0.12499983295575716	1.1131816440856923e-09
4.3	-4.5600000000000005	0.12499746346312166	0.1249974623369075	1.1262141497159206e-09
4.3100000000000005	-4.552	0.12498709306230858	0.12498709192459638	1.1377122022260266e-09
4.32	-4.544	0.12496872353020169	0.1249687223825013	1.147700393056006e-09
4.33	-4.536	0.12494235604244476	0.1249423548862402	1.1562045626467565e-09
4.34	-4.5280000000000005	0.12490799228654803	0.12490799112329638	1.1632516477844135e-09
4.3500000000000005	-4.52	0.1248656344617801	0.12486563329291119	1.1688689183220191e-09
4.36	-4.512	0.12481528527902737	0.12481528410594259	1.173084782091216e-09
4.37	-4.504	0.12475694796062027	0.1247569467846922	1.1759280771350689e-09
4.38	-4.496	0.12469062624012733	0.12469062506269883	1.1774285019194863e-09
4.39	-4.4879999999999995	0.12461632436211598	0.12461632318449949	1.177616490433131e-09
4.4	-4.4799999999999995	0.1245340470818811	0.12453404590535833	1.1765227680982093e-09
4.41	-4.4719999999999995	0.12444379966514046	0.1244437984909618	1.1741786709595914e-09
4.42	-4.464	0.12434558788769802	0.12434558671708175	1.170616270584901e-09
4.43	-4.4559999999999995	0.12423941803507395	0.12423941686920595	1.1658679993642451e-09
4.44	-4.4479999999999995	0.12412529690210261	0.12412529574213631	1.1599663035655183e-09
4.45	-4.4399999999999995	0.12400323179249753	0.12400323063955287	1.1529446564129131e-09
4.46	-4.432	0.12387323051838411	0.12387322937354783	1.1448362813304414e-09
4.47	-4.4239999999999995	0.12373530139979945	0.12373530026412435	1.1356750956315054e-09
4.48	-4.4159999999999995	0.12358945326416013	0.12358945213866505	1.1254950721406587e-09
4.49	-4.4079999999999995	0.12343569544569698	0.12343569433136656	1.1143304196048476e-09
4.5	-4.4	0.12327403778485796	0.12327403668264258	1.102215374526594e-09
4.51	-4.3919999999999995	0.12310449062767811	0.12310448953849344	1.0891846730087806e-09
4.5200000000000005	-4.3839999999999995	0.12292706482511773	0.1229270637498447	1.0752730233987151e-09
4.53	-4.3759999999999994	0.1227417717323675	0.12274177067185262	1.0605148842435241e-09
4.54	-4.368	0.12254862320812222	0.12254862216317715	1.0449450749128175e-09
4.55	-4.359999999999999	0.12234763161382141	0.12234763058522315	1.0285982621205392e-09
4.5600000000000005	-4.351999999999999	0.1221388098128586	0.12213880880134916	1.0115094456475404e-09
4.57	-4.343999999999999	0.12192217116975768	0.12192217017604488	9.93712792607404e-10
4.58	-4.336	0.12169772954931796	0.12169772857407501	9.752429419584985e-10
4.59	-4.327999999999999	0.12146549931572642	0.1214654983595921	9.561343244923748e-10
4.6000000000000005	-4.319999999999999	0.12122549533163889	0.1212254943952176	9.364212877338574e-10
4.61	-4.311999999999999	0.12097773295722826	0.12097773204109075	9.161375130739557e-10
4.62	-4.304	0.12072222804920209	0.12072222715388495	8.953171398706772e-10
